Month,Range,Area,location,Latitude,Longitude,Date,Image,Chinkara,Indian Gaur,Indian Palm Civet,Leopard,Nilgai,Sambar Deer,Sloth Bear,Spotted deer,Wild Boar,Wild dog
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,01.01.2021 to 10.01.2021,I__00166 (2).JPG,0,0,0,0,0,1,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,01.01.2021 to 10.01.2021,I__00179 (2).JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,01.01.2021 to 10.01.2021,I__00179 (2).JPG,0,0,0,0,2,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,01.01.2021 to 10.01.2021,I__00180 (2).JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,01.01.2021 to 10.01.2021,I__00181 (2).JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,01.01.2021 to 10.01.2021,I__00182 (2).JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,01.01.2021 to 10.01.2021,I__00013.JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,01.01.2021 to 10.01.2021,I__00014.JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,01.01.2021 to 10.01.2021,I__00014.JPG,0,0,0,0,2,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,01.01.2021 to 10.01.2021,I__00015.JPG,0,1,0,0,0,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,01.01.2021 to 10.01.2021,I__00015.JPG,0,2,0,0,0,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,01.01.2021 to 10.01.2021,I__00016.JPG,0,1,0,0,0,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,01.01.2021 to 10.01.2021,I__00017.JPG,0,1,0,0,0,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,01.01.2021 to 10.01.2021,I__00018.JPG,0,1,0,0,0,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,01.01.2021 to 10.01.2021,I__00019.JPG,0,1,0,0,0,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,01.01.2021 to 10.01.2021,I__00021.JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,01.01.2021 to 10.01.2021,I__00029 (4).JPG,0,1,0,0,0,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,01.01.2021 to 10.01.2021,I__00030 (4).JPG,0,1,0,0,0,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,01.01.2021 to 10.01.2021,I__00031 (4).JPG,0,1,0,0,0,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,01.01.2021 to 10.01.2021,I__00033 (4).JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,01.01.2021 to 10.01.2021,I__00034 (4).JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,01.01.2021 to 10.01.2021,I__00035 (4).JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,01.01.2021 to 10.01.2021,I__00038 (4).JPG,0,1,0,0,0,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,01.01.2021 to 10.01.2021,I__00039 (3).JPG,0,1,0,0,0,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,01.01.2021 to 10.01.2021,I__00040 (3).JPG,0,1,0,0,0,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,01.01.2021 to 10.01.2021,I__00040 (3).JPG,0,1,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,01.01.2021 to 10.01.2021,I__00043 (3).JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,01.01.2021 to 10.01.2021,I__00044 (3).JPG,0,0,0,0,0,0,0,0,1,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,01.01.2021 to 10.01.2021,I__00045 (3).JPG,0,0,0,0,0,0,0,0,1,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,25.01.2021 to 31.01.2021,I__00123.JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,25.01.2021 to 31.01.2021,I__00124.JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,25.01.2021 to 31.01.2021,I__00125.JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,25.01.2021 to 31.01.2021,I__00001 (3).JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,25.01.2021 to 31.01.2021,I__00011 (3).JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,25.01.2021 to 31.01.2021,I__00012 (3).JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,25.01.2021 to 31.01.2021,I__00013 (2).JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,25.01.2021 to 31.01.2021,I__00015 (2).JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,25.01.2021 to 31.01.2021,I__00016 (2).JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,25.01.2021 to 31.01.2021,I__00017 (2).JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,25.01.2021 to 31.01.2021,I__00018 (2).JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,25.01.2021 to 31.01.2021,I__00113 (2).JPG,0,0,0,1,0,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,25.01.2021 to 31.01.2021,I__00113 (2).JPG,1,0,0,1,0,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,25.01.2021 to 31.01.2021,I__00116 (2).JPG,0,0,0,0,0,0,0,0,1,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,25.01.2021 to 31.01.2021,I__00117 (2).JPG,0,0,0,1,0,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,25.01.2021 to 31.01.2021,I__00118 (2).JPG,0,0,0,1,0,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,25.01.2021 to 31.01.2021,I__00051 (4).JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,25.01.2021 to 31.01.2021,I__00054 (4).JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,25.01.2021 to 31.01.2021,I__00055 (4).JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,25.01.2021 to 31.01.2021,I__00056 (4).JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,25.01.2021 to 31.01.2021,I__00057 (4).JPG,0,0,0,1,0,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,25.01.2021 to 31.01.2021,I__00058 (4).JPG,0,0,1,0,0,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,25.01.2021 to 31.01.2021,I__00064 (4).JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,25.01.2021 to 31.01.2021,I__00065 (4).JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,25.01.2021 to 31.01.2021,I__00065 (4).JPG,0,0,0,0,2,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,25.01.2021 to 31.01.2021,I__00066 (4).JPG,0,0,0,0,1,0,0,0,0,0
January_2021,Indanpally Range,Kamanpally,Maisammakunta grass plot Compt No.181 ,19.16699,78.911145,25.01.2021 to 31.01.2021,I__00066 (4).JPG,0,0,0,0,2,0,0,0,0,0
